respondent_id,school_type,location,enrollment_range,student_teacher_ratio,teachers_trained_percent,biggest_challenge,lab_facilities,internet_downtime,cbe_budget_percent,parent_support,grant_priority,readiness_score_1_10,open_comment
RESP_P0001,Public County,Urban,501-1000,16-20:1,51-75%,Teacher digital skills,Moderate,>10 hours/week,<5%,Neutral,"Support staff (lab tech, ICT support)",4,Progress is slow but steady
RESP_P0002,Public County,Rural,200-500,21-25:1,0-25%,CBC Assessment methods,Poor,<3 hours/week,<5%,Neutral,CBC teaching materials,6,More practical training needed for teachers
RESP_P0003,Public County,Urban,501-1000,15:1 or less,26-50%,CBC Assessment methods,Poor,3-10 hours/week,<5%,Supportive with misconceptions,CBC teaching materials,4,Progress is slow but steady
RESP_P0004,Public County,Rural,200-500,21-25:1,51-75%,Teacher digital skills,Absent,>10 hours/week,<5%,Neutral,CBC teaching materials,4,Progress is slow but steady
RESP_P0005,Public County,Rural,501-1000,15:1 or less,76-100%,CBC Assessment methods,Absent,<3 hours/week,5-10%,Supportive with misconceptions,"Support staff (lab tech, ICT support)",6,More practical training needed for teachers
RESP_P0006,Public County,Rural,200-500,26-30:1,51-75%,Lesson planning for CBC,Moderate,3-10 hours/week,5-10%,Neutral,Teacher training/workshops,4,Digital infrastructure is our biggest limitation
RESP_P0007,Public County,Peri-urban,200-500,26-30:1,51-75%,Lesson planning for CBC,Moderate,>10 hours/week,<5%,Supportive with misconceptions,Teacher training/workshops,6,Progress is slow but steady
RESP_P0008,Public County,Urban,200-500,31+:1,51-75%,CBC Assessment methods,Moderate,<3 hours/week,5-10%,Supportive with misconceptions,CBC teaching materials,6,Parents need more orientation on CBC requirements
RESP_P0009,Public Day,Rural,501-1000,26-30:1,26-50%,Lesson planning for CBC,Well-equipped,>10 hours/week,5-10%,Neutral,Laboratory/workshop equipment,4,Assessment tools need to be simplified
RESP_P0010,Public County,Urban,501-1000,26-30:1,26-50%,CBC Assessment methods,Poor,<3 hours/week,<5%,Supportive,Teacher training/workshops,3,Class sizes make individual attention difficult
RESP_P0011,Public Day,Rural,200-500,21-25:1,51-75%,Large class sizes,Poor,<3 hours/week,5-10%,Resistant,"Support staff (lab tech, ICT support)",4,More practical training needed for teachers
RESP_P0012,Public Day,Rural,501-1000,26-30:1,51-75%,Large class sizes,Moderate,>10 hours/week,5-10%,Supportive with misconceptions,"Support staff (lab tech, ICT support)",6,Resource allocation needs to be more equitable
RESP_P0013,Private,Rural,1001-1500,16-20:1,51-75%,Teacher digital skills,Absent,3-10 hours/week,<5%,Neutral,"Support staff (lab tech, ICT support)",7,Collaboration among teachers has improved CBC implementation
RESP_P0014,Public County,Urban,1501-2000,16-20:1,0-25%,CBC Assessment methods,Poor,3-10 hours/week,<5%,Supportive with misconceptions,"ICT equipment (computers, projectors)",5,Assessment tools need to be simplified
RESP_P0015,Public Day,Peri-urban,501-1000,21-25:1,26-50%,Large class sizes,Well-equipped,3-10 hours/week,<5%,Neutral,"ICT equipment (computers, projectors)",4,Progress is slow but steady
RESP_P0016,Public County,Rural,501-1000,15:1 or less,51-75%,Large class sizes,Well-equipped,3-10 hours/week,<5%,Neutral,"Support staff (lab tech, ICT support)",3,Parents need more orientation on CBC requirements
RESP_P0017,Public Day,Rural,501-1000,21-25:1,51-75%,Lesson planning for CBC,Absent,Minimal,11-20%,Neutral,Teacher training/workshops,4,Parents need more orientation on CBC requirements
RESP_P0018,Public Day,Rural,200-500,15:1 or less,26-50%,Teacher digital skills,Moderate,<3 hours/week,<5%,Neutral,"ICT equipment (computers, projectors)",8,Digital infrastructure is our biggest limitation
RESP_P0019,Public Day,Rural,1501-2000,15:1 or less,51-75%,Teacher digital skills,Absent,3-10 hours/week,5-10%,Supportive with misconceptions,Laboratory/workshop equipment,4,Teachers are trying their best with limited resources
RESP_P0020,Public County,Peri-urban,1001-1500,21-25:1,51-75%,Large class sizes,Poor,<3 hours/week,11-20%,Neutral,CBC teaching materials,3,Need more government support for CBC implementation
RESP_P0021,Public County,Rural,200-500,26-30:1,26-50%,Large class sizes,Moderate,3-10 hours/week,5-10%,Neutral,"ICT equipment (computers, projectors)",6,Progress is slow but steady
RESP_P0022,Public County,Urban,200-500,21-25:1,26-50%,Teacher digital skills,Poor,>10 hours/week,<5%,Neutral,"ICT equipment (computers, projectors)",6,Collaboration among teachers has improved CBC implementation
RESP_P0023,Public Day,Peri-urban,501-1000,15:1 or less,76-100%,Lack of resources,Well-equipped,Minimal,5-10%,Neutral,Teacher training/workshops,5,Parents need more orientation on CBC requirements
RESP_P0024,Public County,Urban,501-1000,21-25:1,51-75%,Lesson planning for CBC,Absent,>10 hours/week,5-10%,Neutral,Teacher training/workshops,5,Digital infrastructure is our biggest limitation
RESP_P0025,Public County,Rural,501-1000,16-20:1,26-50%,Workload/time constraints,Poor,<3 hours/week,<5%,Neutral,Laboratory/workshop equipment,6,Collaboration among teachers has improved CBC implementation
RESP_P0026,Private,Rural,1001-1500,26-30:1,76-100%,Lesson planning for CBC,Absent,>10 hours/week,5-10%,Neutral,Laboratory/workshop equipment,6,Teachers are trying their best with limited resources
RESP_P0027,Private,Urban,200-500,26-30:1,0-25%,Workload/time constraints,Poor,>10 hours/week,5-10%,Neutral,Laboratory/workshop equipment,5,More practical training needed for teachers
RESP_P0028,Public National,Peri-urban,1001-1500,16-20:1,26-50%,Teacher digital skills,Well-equipped,3-10 hours/week,<5%,Neutral,Laboratory/workshop equipment,4,Progress is slow but steady
RESP_P0029,Public Day,Urban,1501-2000,15:1 or less,0-25%,Teacher digital skills,Moderate,3-10 hours/week,5-10%,Supportive with misconceptions,"ICT equipment (computers, projectors)",7,Assessment tools need to be simplified
RESP_P0030,Private,Rural,200-500,21-25:1,76-100%,Teacher digital skills,Poor,3-10 hours/week,<5%,Neutral,Laboratory/workshop equipment,4,Teachers are trying their best with limited resources
RESP_P0031,Public County,Urban,200-500,21-25:1,51-75%,CBC Assessment methods,Absent,>10 hours/week,<5%,Resistant,Laboratory/workshop equipment,5,Progress is slow but steady
RESP_P0032,Public County,Peri-urban,1501-2000,16-20:1,51-75%,CBC Assessment methods,Moderate,<3 hours/week,<5%,Supportive with misconceptions,"Support staff (lab tech, ICT support)",6,Resource allocation needs to be more equitable
RESP_P0033,Private,Urban,200-500,16-20:1,26-50%,CBC Assessment methods,Poor,<3 hours/week,5-10%,Supportive,"ICT equipment (computers, projectors)",6,Need more government support for CBC implementation
RESP_P0034,Public National,Urban,200-500,21-25:1,51-75%,Teacher digital skills,Well-equipped,3-10 hours/week,<5%,Supportive,"ICT equipment (computers, projectors)",6,Class sizes make individual attention difficult
RESP_P0035,Public Day,Urban,1001-1500,31+:1,26-50%,Large class sizes,Moderate,>10 hours/week,<5%,Supportive with misconceptions,"ICT equipment (computers, projectors)",6,Collaboration among teachers has improved CBC implementation
RESP_P0036,Public County,Rural,200-500,26-30:1,76-100%,Teacher digital skills,Poor,<3 hours/week,<5%,Resistant,CBC teaching materials,7,Teachers are trying their best with limited resources
RESP_P0037,Public Day,Rural,200-500,26-30:1,0-25%,Workload/time constraints,Poor,3-10 hours/week,5-10%,Supportive,Laboratory/workshop equipment,5,Resource allocation needs to be more equitable
RESP_P0038,Public County,Urban,200-500,26-30:1,26-50%,Lesson planning for CBC,Moderate,<3 hours/week,<5%,Neutral,Laboratory/workshop equipment,6,More practical training needed for teachers
RESP_P0039,Public County,Urban,1501-2000,15:1 or less,76-100%,Lack of resources,Moderate,>10 hours/week,5-10%,Neutral,Laboratory/workshop equipment,6,More practical training needed for teachers
RESP_P0040,Public Day,Urban,1001-1500,16-20:1,51-75%,Workload/time constraints,Moderate,<3 hours/week,5-10%,Neutral,Teacher training/workshops,6,Parents need more orientation on CBC requirements
RESP_P0041,Public County,Rural,501-1000,16-20:1,26-50%,Lesson planning for CBC,Poor,>10 hours/week,<5%,Supportive with misconceptions,Teacher training/workshops,7,Resource allocation needs to be more equitable
RESP_P0042,Public Day,Urban,501-1000,26-30:1,26-50%,Workload/time constraints,Well-equipped,Minimal,<5%,Supportive with misconceptions,Teacher training/workshops,6,Assessment tools need to be simplified
RESP_P0043,Public Day,Rural,200-500,26-30:1,76-100%,Lesson planning for CBC,Poor,<3 hours/week,<5%,Supportive with misconceptions,CBC teaching materials,5,Collaboration among teachers has improved CBC implementation
RESP_P0044,Private,Urban,1501-2000,16-20:1,26-50%,Lack of resources,Well-equipped,3-10 hours/week,<5%,Supportive,Laboratory/workshop equipment,7,Class sizes make individual attention difficult
RESP_P0045,Public Day,Peri-urban,1001-1500,16-20:1,26-50%,Large class sizes,Poor,<3 hours/week,11-20%,Supportive with misconceptions,"ICT equipment (computers, projectors)",5,Teachers are trying their best with limited resources
RESP_P0046,Public County,Urban,200-500,26-30:1,0-25%,Lesson planning for CBC,Well-equipped,3-10 hours/week,<5%,Supportive,"ICT equipment (computers, projectors)",5,Class sizes make individual attention difficult
RESP_P0047,Public Day,Rural,1501-2000,21-25:1,51-75%,Teacher digital skills,Absent,>10 hours/week,5-10%,Supportive with misconceptions,"Support staff (lab tech, ICT support)",6,More practical training needed for teachers
RESP_P0048,Public County,Peri-urban,1501-2000,26-30:1,76-100%,Workload/time constraints,Moderate,3-10 hours/week,5-10%,Supportive,Teacher training/workshops,5,Collaboration among teachers has improved CBC implementation
RESP_P0049,Public County,Peri-urban,501-1000,21-25:1,76-100%,CBC Assessment methods,Poor,>10 hours/week,<5%,Supportive with misconceptions,CBC teaching materials,6,Collaboration among teachers has improved CBC implementation
RESP_P0050,Public County,Rural,1501-2000,16-20:1,76-100%,Large class sizes,Absent,3-10 hours/week,5-10%,Neutral,"Support staff (lab tech, ICT support)",3,Collaboration among teachers has improved CBC implementation
RESP_P0051,Public County,Rural,200-500,26-30:1,26-50%,Lack of resources,Moderate,>10 hours/week,5-10%,Neutral,CBC teaching materials,7,Collaboration among teachers has improved CBC implementation
RESP_P0052,Public National,Urban,1001-1500,21-25:1,51-75%,Workload/time constraints,Poor,<3 hours/week,<5%,Neutral,"ICT equipment (computers, projectors)",6,Class sizes make individual attention difficult
RESP_P0053,Public County,Urban,200-500,16-20:1,51-75%,Large class sizes,Absent,>10 hours/week,<5%,Neutral,Laboratory/workshop equipment,5,Need more government support for CBC implementation
RESP_P0054,Public County,Peri-urban,501-1000,31+:1,51-75%,CBC Assessment methods,Poor,Minimal,<5%,Supportive,"ICT equipment (computers, projectors)",4,Assessment tools need to be simplified
RESP_P0055,Public County,Rural,1501-2000,15:1 or less,76-100%,CBC Assessment methods,Moderate,3-10 hours/week,5-10%,Neutral,"ICT equipment (computers, projectors)",5,Teachers are trying their best with limited resources
RESP_P0056,Public County,Rural,501-1000,21-25:1,76-100%,CBC Assessment methods,Moderate,3-10 hours/week,<5%,Supportive,Teacher training/workshops,7,Resource allocation needs to be more equitable
RESP_P0057,Public County,Rural,1001-1500,21-25:1,0-25%,CBC Assessment methods,Moderate,>10 hours/week,<5%,Supportive with misconceptions,"ICT equipment (computers, projectors)",3,More practical training needed for teachers
RESP_P0058,Public Day,Peri-urban,200-500,15:1 or less,76-100%,CBC Assessment methods,Poor,3-10 hours/week,5-10%,Supportive with misconceptions,CBC teaching materials,5,Need more government support for CBC implementation
RESP_P0059,Public County,Rural,501-1000,15:1 or less,76-100%,Teacher digital skills,Well-equipped,3-10 hours/week,<5%,Supportive,Laboratory/workshop equipment,4,Digital infrastructure is our biggest limitation
RESP_P0060,Public County,Urban,200-500,16-20:1,51-75%,Lesson planning for CBC,Moderate,>10 hours/week,<5%,Supportive,Teacher training/workshops,7,Resource allocation needs to be more equitable
RESP_P0061,Public National,Rural,200-500,21-25:1,76-100%,CBC Assessment methods,Poor,>10 hours/week,<5%,Resistant,"Support staff (lab tech, ICT support)",5,Collaboration among teachers has improved CBC implementation
RESP_P0062,Public County,Urban,501-1000,16-20:1,51-75%,Workload/time constraints,Poor,Minimal,<5%,Neutral,"ICT equipment (computers, projectors)",6,Assessment tools need to be simplified
RESP_P0063,Public Day,Rural,501-1000,26-30:1,51-75%,Workload/time constraints,Poor,>10 hours/week,<5%,Supportive with misconceptions,Teacher training/workshops,5,More practical training needed for teachers
RESP_P0064,Public County,Peri-urban,501-1000,16-20:1,51-75%,CBC Assessment methods,Absent,3-10 hours/week,<5%,Neutral,Teacher training/workshops,5,Digital infrastructure is our biggest limitation
RESP_P0065,Private,Peri-urban,501-1000,26-30:1,51-75%,Large class sizes,Moderate,>10 hours/week,<5%,Neutral,Teacher training/workshops,5,Need more government support for CBC implementation
RESP_P0066,Private,Urban,501-1000,16-20:1,26-50%,CBC Assessment methods,Poor,<3 hours/week,<5%,Supportive,CBC teaching materials,6,Teachers are trying their best with limited resources
RESP_P0067,Private,Urban,501-1000,15:1 or less,76-100%,Lack of resources,Well-equipped,<3 hours/week,<5%,Neutral,"Support staff (lab tech, ICT support)",8,Digital infrastructure is our biggest limitation
RESP_P0068,Public County,Rural,200-500,16-20:1,76-100%,Teacher digital skills,Moderate,3-10 hours/week,<5%,Resistant,Teacher training/workshops,4,More practical training needed for teachers
RESP_P0069,Public Day,Rural,501-1000,26-30:1,76-100%,Lack of resources,Absent,<3 hours/week,<5%,Supportive with misconceptions,CBC teaching materials,6,More practical training needed for teachers
RESP_P0070,Public County,Urban,501-1000,15:1 or less,0-25%,Lesson planning for CBC,Poor,3-10 hours/week,5-10%,Neutral,"Support staff (lab tech, ICT support)",4,Progress is slow but steady
RESP_P0071,Public Day,Rural,501-1000,21-25:1,26-50%,Workload/time constraints,Absent,3-10 hours/week,<5%,Neutral,Laboratory/workshop equipment,5,Parents need more orientation on CBC requirements
