timestamp,respondent_id,gender,age_range,highest_qualification,total_teaching_exp,cbc_experience_years,primary_pathway,school_type,school_location,largest_class_size,subjects_taught_count,conf_B1,conf_B2,conf_B3,conf_B4,conf_B5,conf_B6,conf_B7,digi_C1a,digi_C1b,digi_C1c,digi_C1d,digi_C2a,digi_C2b,digi_C2c,digi_C2d,digi_C2e,res_D1,res_D2,res_D3,res_D4,res_D5,res_D6,train_attended,train_E2,train_E3,train_E4,train_E5,train_E6,train_E7,overall_readiness,top_challenge_1,top_challenge_2,most_needed_support,additional_comments
2025-01-13 04:29:09,RESP_T00001,Male,20-29,Diploma,11-15 years,2-3 years,Social Sciences,Public National,Urban,50-59,1,3,4,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3,3,2,3,3,3,Yes,1.0,2.0,2.0,2.0,2.0,2.0,3,Resources,Class Size,Better ICT equipment,Overwhelmed with workload
2025-01-23 13:24:12,RESP_T00002,Male,40-49,Diploma,2-5 years,First year,Arts & Sports,Public Day,Peri-urban,20-29,2,3,3,3,3,3,4,3,4,4,3,3,3,2,3,4,3,2,2,2,3,2,2,Yes,3.0,2.0,3.0,3.0,3.0,3.0,3,Class Size,Workload,More planning time,Overwhelmed with workload
2025-01-05 20:04:38,RESP_T00003,Male,30-39,M.Ed,16-20 years,2-3 years,Social Sciences,Public County,Urban,30-39,2,4,4,4,4,4,4,4,3,4,3,3,3,2,3,4,3,3,3,3,2,3,3,Yes,4.0,4.0,4.0,3.0,4.0,3.0,4,Resources,Digital Tools,Administrative support,Need more practical support
2025-01-03 14:36:30,RESP_T00004,Male,30-39,Diploma,11-15 years,First year,Social Sciences,Public National,Peri-urban,50-59,3,2,2,2,1,2,2,1,3,4,3,3,3,3,3,3,4,4,4,3,4,4,3,Yes,4.0,4.0,4.0,4.0,4.0,4.0,3,Resources,Workload,Practical training,Overwhelmed with workload
2025-01-19 17:47:47,RESP_T00005,Female,30-39,PGDE,2-5 years,More than 5 years,Social Sciences,Public Day,Peri-urban,40-49,2,4,4,3,4,4,4,3,3,3,4,3,3,3,3,3,2,2,3,2,2,3,2,Yes,3.0,4.0,3.0,4.0,3.0,3.0,3,Workload,Resources,Better ICT equipment,Need more practical support
2025-01-02 14:05:55,RESP_T00006,Female,30-39,B.Ed,More than 20 years,First year,STEM,Public Day,Urban,60+,4+,3,3,3,3,3,3,3,4,3,4,4,2,3,3,3,4,5,4,5,5,4,5,Yes,3.0,2.0,3.0,3.0,3.0,3.0,3,Workload,Training,Practical training,Need more practical support
2025-01-26 04:27:17,RESP_T00007,Male,50-59,Diploma,6-10 years,First year,STEM,Public Day,Urban,40-49,2,3,3,3,3,3,2,3,4,4,3,4,3,3,4,4,3,1,2,2,2,2,2,Yes,3.0,3.0,3.0,3.0,2.0,3.0,3,Training,Class Size,Practical training,Need more practical support
2025-01-06 15:18:56,RESP_T00008,Male,30-39,M.Ed,Less than 2 years,2-3 years,STEM,Public County,Urban,50-59,3,3,4,4,4,3,4,4,3,3,3,3,3,2,3,2,2,2,3,3,2,2,2,Yes,2.0,2.0,2.0,1.0,2.0,1.0,3,Resources,Workload,Practical training,Overwhelmed with workload
2025-01-10 15:38:54,RESP_T00009,Female,50-59,Diploma,11-15 years,2-3 years,Social Sciences,Public County,Rural,40-49,1,3,3,3,3,3,3,3,1,1,1,1,2,1,2,1,2,3,4,3,3,3,3,No,,,,,,,2,Digital Tools,Workload,Parent education,Need more practical support
2025-01-14 05:59:23,RESP_T00010,Female,60+,PGDE,2-5 years,4-5 years,STEM,Public Day,Rural,60+,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,2,3,Yes,3.0,3.0,3.0,3.0,3.0,3.0,3,Digital Tools,Class Size,Practical training,Need more practical support
2025-01-19 11:52:54,RESP_T00011,Female,40-49,Diploma,16-20 years,2-3 years,Social Sciences,Public Day,Rural,60+,2,3,3,4,3,3,4,4,3,3,2,2,2,3,3,3,3,3,3,3,4,3,4,Yes,5.0,4.0,5.0,4.0,5.0,5.0,4,Training,Digital Tools,Smaller classes,Need more practical support
2025-01-10 03:08:12,RESP_T00012,Male,20-29,PGDE,16-20 years,First year,Arts & Sports,Public County,Rural,40-49,1,2,2,2,2,2,2,2,1,3,2,2,3,2,1,2,2,3,3,3,3,3,3,Yes,3.0,3.0,4.0,4.0,4.0,4.0,3,Resources,Workload,Better ICT equipment,Very difficult without proper resources
2025-01-15 11:12:52,RESP_T00013,Female,30-39,Diploma,More than 20 years,First year,STEM,Private,Urban,50-59,1,2,2,1,2,2,1,2,5,4,4,4,4,3,3,3,3,4,4,4,5,5,4,Yes,3.0,4.0,3.0,3.0,3.0,3.0,3,Digital Tools,Training,Administrative support,Overwhelmed with workload
2025-01-07 12:06:24,RESP_T00014,Male,40-49,B.Ed,6-10 years,2-3 years,Social Sciences,Public County,Peri-urban,50-59,4+,3,2,3,2,3,3,2,5,4,4,3,4,3,4,4,3,2,3,3,3,2,3,Yes,3.0,3.0,2.0,3.0,3.0,3.0,3,Training,Policy Confusion,Parent education,Overwhelmed with workload
2025-01-18 19:39:11,RESP_T00015,Female,30-39,B.Ed,6-10 years,First year,STEM,Private,Rural,30-39,1,3,3,2,2,2,2,2,4,4,5,5,3,4,4,4,4,3,3,4,3,4,4,Yes,3.0,4.0,3.0,4.0,4.0,3.0,3,Training,Workload,More planning time,Need more practical support
2025-01-19 09:31:29,RESP_T00016,Female,20-29,M.Ed,16-20 years,2-3 years,STEM,Public Day,Rural,50-59,2,3,3,4,4,4,4,4,2,3,2,2,1,2,2,2,2,3,3,3,3,3,2,Yes,2.0,2.0,2.0,1.0,2.0,1.0,3,Policy Confusion,Resources,Administrative support,Very difficult without proper resources
2025-01-03 21:36:37,RESP_T00017,Male,40-49,M.Ed,2-5 years,2-3 years,Social Sciences,Public Day,Peri-urban,20-29,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,1,1,2,2,1,Yes,2.0,2.0,2.0,2.0,2.0,3.0,2,Workload,Resources,Better ICT equipment,Overwhelmed with workload
2025-01-30 18:39:23,RESP_T00018,Male,50-59,PGDE,6-10 years,4-5 years,Social Sciences,Private,Rural,50-59,2,3,3,3,3,3,3,3,3,3,4,4,3,3,3,2,3,3,2,2,3,1,2,Yes,4.0,5.0,4.0,4.0,5.0,5.0,3,Class Size,Digital Tools,Practical training,Need more practical support
2025-01-10 05:39:57,RESP_T00019,Male,40-49,PGDE,6-10 years,More than 5 years,Social Sciences,Public Day,Urban,30-39,3,5,5,5,5,5,5,5,3,3,3,2,3,3,3,3,4,1,1,2,1,1,1,No,,,,,,,3,Training,Workload,Smaller classes,Overwhelmed with workload
2025-01-21 23:12:41,RESP_T00020,Male,30-39,Diploma,Less than 2 years,More than 5 years,STEM,Public County,Rural,20-29,2,3,3,4,3,4,3,3,2,1,2,2,1,2,1,1,1,3,4,3,3,4,3,Yes,1.0,3.0,2.0,2.0,2.0,3.0,3,Digital Tools,Resources,Smaller classes,Overwhelmed with workload
2025-01-05 03:45:06,RESP_T00021,Male,40-49,Diploma,6-10 years,More than 5 years,Social Sciences,Public County,Rural,40-49,2,4,3,3,3,3,4,3,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,No,,,,,,,2,Workload,Resources,More planning time,Need more practical support
2025-01-02 22:35:00,RESP_T00022,Male,30-39,Diploma,16-20 years,First year,STEM,Public National,Urban,40-49,4+,2,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,Yes,2.0,3.0,3.0,3.0,3.0,2.0,3,Digital Tools,Workload,Smaller classes,Very difficult without proper resources
2025-01-09 10:13:19,RESP_T00023,Female,30-39,Diploma,16-20 years,First year,STEM,Public County,Peri-urban,50-59,3,5,5,4,5,5,5,5,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,Yes,5.0,5.0,5.0,5.0,5.0,5.0,4,Workload,Resources,Practical training,"Some aspects working, others challenging"
2025-01-10 20:54:48,RESP_T00024,Female,50-59,Diploma,Less than 2 years,2-3 years,STEM,Public Day,Urban,60+,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Yes,3.0,2.0,3.0,2.0,3.0,2.0,3,Workload,Resources,More planning time,Overwhelmed with workload
2025-01-17 14:04:04,RESP_T00025,Male,30-39,B.Ed,Less than 2 years,4-5 years,STEM,Public County,Rural,40-49,2,4,4,5,4,4,5,5,3,3,3,3,3,3,3,4,2,3,3,4,3,4,3,Yes,3.0,3.0,3.0,2.0,2.0,2.0,3,Resources,Digital Tools,Smaller classes,Need more practical support
2025-01-30 20:42:14,RESP_T00026,Female,30-39,Diploma,2-5 years,More than 5 years,STEM,Public County,Rural,20-29,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,Yes,4.0,3.0,3.0,3.0,4.0,3.0,3,Resources,Training,Better ICT equipment,Very difficult without proper resources
2025-01-30 01:54:54,RESP_T00027,Male,20-29,B.Ed,16-20 years,4-5 years,STEM,Public County,Urban,50-59,2,5,4,5,4,4,5,4,5,4,4,5,3,3,3,2,3,2,2,1,1,2,1,Yes,4.0,5.0,5.0,4.0,4.0,4.0,4,Parent Support,Resources,More planning time,Overwhelmed with workload
2025-01-19 20:36:46,RESP_T00028,Female,50-59,Diploma,2-5 years,First year,Arts & Sports,Public Day,Peri-urban,40-49,3,3,3,3,2,3,2,3,3,3,3,3,2,2,2,2,2,3,2,2,3,3,3,Yes,3.0,3.0,3.0,3.0,3.0,3.0,3,Training,Digital Tools,Parent education,Very difficult without proper resources
2025-01-03 20:25:05,RESP_T00029,Male,40-49,Diploma,11-15 years,More than 5 years,STEM,Public National,Peri-urban,40-49,1,4,4,4,4,4,4,4,2,2,3,3,2,3,3,2,3,3,2,3,3,2,3,Yes,4.0,5.0,4.0,4.0,3.0,4.0,3,Workload,Digital Tools,Practical training,Need more practical support
2025-01-02 16:22:17,RESP_T00030,Female,40-49,B.Ed,2-5 years,2-3 years,STEM,Public County,Rural,40-49,2,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,2,2,2,2,3,2,Yes,2.0,3.0,2.0,3.0,3.0,2.0,2,Workload,Resources,Better ICT equipment,Overwhelmed with workload
2025-01-12 22:21:36,RESP_T00031,Female,40-49,B.Ed,11-15 years,First year,STEM,Public County,Urban,40-49,1,2,2,2,2,2,2,2,4,3,3,3,3,3,3,2,3,4,4,5,4,4,4,No,,,,,,,3,Digital Tools,Parent Support,Smaller classes,Need more practical support
2025-01-26 05:15:11,RESP_T00032,Female,30-39,B.Ed,6-10 years,2-3 years,Social Sciences,Public Day,Urban,40-49,2,4,4,4,3,4,4,4,2,3,2,2,2,2,3,2,2,5,4,5,5,5,4,No,,,,,,,3,Training,Resources,Administrative support,Need more practical support
2025-01-09 23:17:51,RESP_T00033,Female,30-39,B.Ed,16-20 years,First year,STEM,Public County,Urban,50-59,3,4,4,3,4,3,3,4,3,3,3,4,4,3,3,3,4,1,1,1,1,1,1,Yes,5.0,4.0,4.0,3.0,4.0,3.0,3,Digital Tools,Class Size,More planning time,Need more practical support
2025-01-06 00:43:05,RESP_T00034,Male,30-39,Diploma,2-5 years,2-3 years,Arts & Sports,Public Day,Urban,40-49,1,3,2,3,3,3,2,3,3,4,4,4,3,3,4,2,3,3,4,3,3,4,3,No,,,,,,,3,Resources,Digital Tools,Administrative support,Need more practical support
2025-01-04 05:21:42,RESP_T00035,Female,20-29,B.Ed,11-15 years,2-3 years,Arts & Sports,Public County,Rural,50-59,2,4,4,3,3,3,3,3,2,3,3,2,3,3,2,2,3,4,4,4,4,3,4,No,,,,,,,3,Class Size,Digital Tools,Practical training,Very difficult without proper resources
2025-01-24 08:47:07,RESP_T00036,Male,30-39,Diploma,2-5 years,2-3 years,STEM,Public County,Peri-urban,40-49,4+,3,3,3,3,3,3,3,5,5,5,5,4,4,4,4,5,4,4,4,4,3,4,Yes,3.0,2.0,2.0,1.0,3.0,2.0,3,Training,Digital Tools,Parent education,Overwhelmed with workload
2025-01-01 23:32:49,RESP_T00037,Male,50-59,Diploma,11-15 years,2-3 years,Social Sciences,Private,Rural,30-39,2,4,4,4,4,4,4,4,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,Yes,2.0,2.0,2.0,2.0,2.0,2.0,3,Resources,Workload,Practical training,Need more practical support
2025-01-22 22:26:00,RESP_T00038,Male,20-29,B.Ed,16-20 years,4-5 years,STEM,Public National,Peri-urban,50-59,2,3,4,4,3,3,4,3,2,2,2,2,2,2,2,2,2,3,3,3,4,3,4,Yes,4.0,3.0,4.0,4.0,3.0,4.0,3,Workload,Resources,Better ICT equipment,Overwhelmed with workload
2025-01-24 05:05:30,RESP_T00039,Female,30-39,Diploma,2-5 years,2-3 years,Social Sciences,Public County,Rural,40-49,4+,5,5,5,5,5,4,5,3,2,3,3,2,2,3,2,1,3,2,3,3,2,3,Yes,3.0,3.0,3.0,3.0,3.0,4.0,4,Resources,Digital Tools,Smaller classes,Overwhelmed with workload
2025-01-11 20:52:34,RESP_T00040,Male,30-39,Diploma,16-20 years,2-3 years,Social Sciences,Public National,Rural,30-39,4+,4,4,3,4,3,4,4,2,3,2,3,2,2,3,2,2,5,4,5,4,4,5,Yes,3.0,3.0,3.0,2.0,3.0,3.0,3,Digital Tools,Workload,Practical training,Overwhelmed with workload
2025-01-27 12:23:37,RESP_T00041,Female,30-39,M.Ed,11-15 years,4-5 years,STEM,Public County,Peri-urban,50-59,2,4,4,4,4,4,4,4,5,5,4,4,4,4,4,3,4,3,4,4,3,3,4,Yes,2.0,2.0,2.0,3.0,3.0,3.0,4,Resources,Parent Support,Practical training,Overwhelmed with workload
2025-01-10 23:46:19,RESP_T00042,Female,50-59,M.Ed,2-5 years,More than 5 years,STEM,Public County,Rural,40-49,1,3,2,3,3,4,4,3,2,2,3,3,2,3,3,3,2,3,4,3,4,3,3,Yes,4.0,4.0,2.0,4.0,3.0,3.0,3,Parent Support,Resources,Parent education,Need more practical support
2025-01-10 15:42:42,RESP_T00043,Female,30-39,Diploma,6-10 years,First year,Social Sciences,Public County,Peri-urban,50-59,1,2,2,2,2,2,2,2,4,4,4,4,2,3,3,3,4,2,2,2,3,2,3,Yes,4.0,3.0,2.0,3.0,3.0,4.0,3,Parent Support,Resources,Parent education,Overwhelmed with workload
2025-01-23 12:37:04,RESP_T00044,Female,30-39,Diploma,2-5 years,2-3 years,Social Sciences,Public County,Urban,40-49,3,3,3,3,3,3,3,3,2,2,2,2,2,1,2,2,2,4,5,4,4,4,4,No,,,,,,,3,Workload,Digital Tools,Better ICT equipment,Overwhelmed with workload
2025-01-28 02:07:34,RESP_T00045,Male,40-49,Diploma,11-15 years,First year,STEM,Public County,Urban,50-59,3,2,2,2,3,2,2,2,5,4,5,5,5,4,5,4,4,1,1,1,2,1,1,Yes,4.0,4.0,4.0,3.0,4.0,4.0,3,Digital Tools,Class Size,Practical training,Overwhelmed with workload
2025-01-05 07:13:32,RESP_T00046,Male,30-39,Diploma,16-20 years,First year,Social Sciences,Public Day,Peri-urban,20-29,2,2,2,2,2,2,3,2,3,4,3,3,3,3,3,4,3,3,2,3,3,2,2,Yes,3.0,3.0,3.0,2.0,3.0,2.0,3,Workload,Training,Practical training,Need more practical support
2025-01-24 09:14:09,RESP_T00047,Male,30-39,M.Ed,2-5 years,2-3 years,Social Sciences,Public Day,Rural,40-49,2,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,,,,,,,3,Class Size,Workload,Smaller classes,Very difficult without proper resources
2025-01-24 14:56:50,RESP_T00048,Male,30-39,Diploma,6-10 years,4-5 years,Arts & Sports,Public County,Peri-urban,60+,1,5,4,4,4,5,5,4,1,2,2,2,1,1,2,1,1,3,2,2,2,1,2,Yes,3.0,4.0,3.0,4.0,3.0,2.0,3,Digital Tools,Resources,Smaller classes,Need more practical support
2025-01-17 02:37:43,RESP_T00049,Male,40-49,B.Ed,16-20 years,First year,STEM,Public County,Peri-urban,50-59,2,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,4,Yes,3.0,3.0,3.0,2.0,3.0,3.0,3,Workload,Resources,Smaller classes,Very difficult without proper resources
2025-01-01 20:53:28,RESP_T00050,Male,60+,Diploma,More than 20 years,4-5 years,Social Sciences,Public County,Urban,30-39,2,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,2,2,2,2,3,2,2,No,,,,,,,3,Resources,Digital Tools,Practical training,Very difficult without proper resources
2025-01-02 13:54:10,RESP_T00051,Male,40-49,PhD,6-10 years,4-5 years,Social Sciences,Public County,Rural,30-39,3,3,2,2,3,3,3,3,2,3,3,3,3,3,2,2,3,2,2,2,2,2,2,No,,,,,,,3,Workload,Digital Tools,Practical training,Very difficult without proper resources
2025-01-10 22:32:31,RESP_T00052,Female,30-39,Diploma,More than 20 years,More than 5 years,STEM,Public County,Urban,40-49,2,4,3,4,4,4,4,4,2,1,2,1,2,2,3,2,2,2,2,2,2,2,2,Yes,2.0,2.0,3.0,2.0,2.0,2.0,3,Workload,Digital Tools,Smaller classes,Need more practical support
2025-01-28 11:25:51,RESP_T00053,Female,50-59,B.Ed,6-10 years,First year,Social Sciences,Public County,Rural,50-59,2,3,3,3,3,3,4,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,Yes,4.0,5.0,4.0,5.0,4.0,4.0,3,Workload,Resources,Administrative support,Very difficult without proper resources
2025-01-14 01:36:32,RESP_T00054,Male,30-39,Diploma,6-10 years,More than 5 years,Social Sciences,Public County,Rural,50-59,2,4,4,4,4,4,4,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,No,,,,,,,3,Workload,Training,Better ICT equipment,Overwhelmed with workload
2025-01-07 22:34:55,RESP_T00055,Female,20-29,B.Ed,16-20 years,2-3 years,Arts & Sports,Public County,Urban,50-59,2,3,4,4,4,3,4,4,4,3,3,3,3,4,2,4,3,4,4,5,4,4,4,Yes,4.0,3.0,3.0,3.0,4.0,4.0,4,Workload,Parent Support,Administrative support,Overwhelmed with workload
2025-01-09 20:29:25,RESP_T00056,Male,30-39,Diploma,6-10 years,2-3 years,STEM,Public County,Rural,40-49,2,3,3,3,2,3,3,3,1,1,1,1,1,1,1,1,2,3,3,3,2,3,3,Yes,5.0,4.0,4.0,4.0,4.0,4.0,3,Training,Digital Tools,Administrative support,Overwhelmed with workload
2025-01-29 16:46:37,RESP_T00057,Male,30-39,Diploma,6-10 years,First year,Social Sciences,Private,Rural,50-59,1,4,4,4,4,4,4,4,4,4,3,4,3,3,2,3,3,5,4,4,4,5,4,Yes,3.0,3.0,2.0,3.0,3.0,3.0,4,Resources,Workload,Parent education,Need more practical support
2025-01-20 20:57:56,RESP_T00058,Female,40-49,M.Ed,6-10 years,First year,STEM,Public County,Urban,40-49,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,2,1,Yes,2.0,2.0,2.0,3.0,3.0,2.0,3,Resources,Workload,Administrative support,Very difficult without proper resources
2025-01-25 07:07:17,RESP_T00059,Female,40-49,M.Ed,16-20 years,4-5 years,Arts & Sports,Public Day,Peri-urban,30-39,1,3,4,3,4,4,3,4,4,5,4,5,4,4,4,3,4,2,2,2,2,1,1,Yes,2.0,3.0,3.0,3.0,3.0,2.0,3,Workload,Digital Tools,Administrative support,Overwhelmed with workload
2025-01-28 07:35:12,RESP_T00060,Male,50-59,PGDE,16-20 years,2-3 years,STEM,Public Day,Rural,40-49,1,4,4,4,5,4,4,4,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,Yes,5.0,5.0,5.0,5.0,5.0,5.0,4,Digital Tools,Parent Support,Smaller classes,Need more practical support
2025-01-26 02:51:47,RESP_T00061,Female,40-49,B.Ed,6-10 years,First year,Arts & Sports,Public County,Peri-urban,60+,3,3,3,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,3,2,2,No,,,,,,,2,Workload,Training,Practical training,Need more practical support
2025-01-10 15:36:13,RESP_T00062,Female,40-49,PGDE,6-10 years,First year,Arts & Sports,Public County,Urban,50-59,2,3,2,3,3,3,2,3,2,3,3,3,2,2,3,3,3,3,2,3,2,3,3,Yes,3.0,3.0,4.0,3.0,3.0,3.0,3,Digital Tools,Parent Support,Practical training,Very difficult without proper resources
