gender,age_range,school_location,school_type,primary_pathway,cbc_experience_years,largest_class_size,Pedagogical_Mean,Digital_Mean,Resource_Mean,Training_Mean
Male,20-29,Urban,Public National,Social Sciences,2-3 years,50-59,3.4285714285714284,3.4444444444444446,2.8333333333333335,1.8333333333333333
Male,40-49,Peri-urban,Public Day,Arts & Sports,First year,20-29,3.142857142857143,3.2222222222222223,2.1666666666666665,2.8333333333333335
Male,30-39,Urban,Public County,Social Sciences,2-3 years,30-39,4.0,3.111111111111111,2.8333333333333335,3.6666666666666665
Male,30-39,Peri-urban,Public National,Social Sciences,First year,50-59,1.7142857142857142,3.2222222222222223,3.6666666666666665,4.0
Female,30-39,Peri-urban,Public Day,Social Sciences,More than 5 years,40-49,3.7142857142857144,3.0,2.3333333333333335,3.3333333333333335
Female,30-39,Urban,Public Day,STEM,First year,60+,3.0,3.3333333333333335,4.666666666666667,2.8333333333333335
Male,50-59,Urban,Public Day,STEM,First year,40-49,2.857142857142857,3.5555555555555554,1.8333333333333333,2.8333333333333335
Male,30-39,Urban,Public County,STEM,2-3 years,50-59,3.7142857142857144,2.6666666666666665,2.3333333333333335,1.6666666666666667
Female,50-59,Rural,Public County,Social Sciences,2-3 years,40-49,3.0,1.3333333333333333,3.1666666666666665,1.0
Female,60+,Rural,Public Day,STEM,4-5 years,60+,2.857142857142857,3.111111111111111,2.6666666666666665,3.0
Female,40-49,Rural,Public Day,Social Sciences,2-3 years,60+,3.4285714285714284,2.6666666666666665,3.3333333333333335,4.666666666666667
Male,20-29,Rural,Public County,Arts & Sports,First year,40-49,2.0,2.0,3.0,3.6666666666666665
Female,30-39,Urban,Private,STEM,First year,50-59,1.7142857142857142,3.6666666666666665,4.333333333333333,3.1666666666666665
Male,40-49,Peri-urban,Public County,Social Sciences,2-3 years,50-59,2.5714285714285716,3.7777777777777777,2.6666666666666665,2.8333333333333335
Female,30-39,Rural,Private,STEM,First year,30-39,2.2857142857142856,4.111111111111111,3.5,3.5
Female,20-29,Rural,Public Day,STEM,2-3 years,50-59,3.7142857142857144,2.0,2.8333333333333335,1.6666666666666667
