items_composite,overall_readiness,train_E4,train_E3,train_E7,train_E6,train_E2,train_E5,training_quality_mean,Digital,Pedagogical,Digital_x_Training,res_D6,training_attended_binary,res_D5,Resource,res_D4,digi_C1d,res_D3,res_D1,res_D2,digi_C1c,digi_C2e,conf_B2,conf_B6,TRI_scaled,school_id
2.9642857142857144,3,2.0,2.0,2.0,2.0,1.0,2.0,-0.7000000000000001,0.7000000000000003,0.2499999999999999,-0.49000000000000027,3,1,3,0.0,3,3,2,3,3,4,3,4,4,11.539682539682541,Public National_Urban
2.892857142857143,3,3.0,2.0,3.0,3.0,3.0,3.0,-0.10000000000000019,0.5000000000000002,0.0,-0.04999999999999998,2,1,2,-0.5000000000000001,3,3,2,2,2,3,3,3,4,11.365079365079366,Public Day_Peri-urban
3.392857142857143,4,4.0,4.0,3.0,4.0,4.0,3.0,0.39999999999999997,0.40000000000000013,0.7500000000000001,0.16000000000000003,3,1,3,0.0,2,3,3,3,3,3,3,4,4,13.61111111111111,Public County_Urban
3.107142857142857,3,3.0,4.0,3.0,3.0,3.0,4.0,0.19999999999999984,0.3000000000000001,0.5000000000000002,0.060000000000000046,2,1,3,-0.37499999999999994,2,3,2,2,3,4,2,4,4,12.380952380952381,Public Day_Peri-urban
3.4285714285714284,3,3.0,2.0,3.0,3.0,3.0,3.0,-0.10000000000000019,0.6000000000000002,-0.12499999999999994,-0.05999999999999997,5,1,4,1.375,5,4,5,5,4,4,4,3,3,13.833333333333334,Public Day_Urban
2.857142857142857,3,3.0,3.0,3.0,2.0,3.0,3.0,-0.10000000000000019,0.7999999999999999,-0.2499999999999999,-0.07999999999999993,2,1,2,-0.7500000000000001,2,4,2,1,2,3,3,3,2,11.07936507936508,Public Day_Urban
2.642857142857143,3,2.0,2.0,1.0,2.0,2.0,1.0,-0.8,0.0,0.5000000000000002,-0.0,2,1,2,-0.37499999999999994,2,3,3,2,3,3,2,4,4,10.380952380952381,Public County_Urban
2.0714285714285716,2,1.0,1.0,1.0,1.0,1.0,1.0,-1.2000000000000002,-1.2,-0.12499999999999994,1.4400000000000002,3,0,3,0.24999999999999975,3,1,3,3,4,1,2,3,3,8.5,Public County_Rural
2.9285714285714284,3,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.40000000000000013,-0.2499999999999999,0.0,3,1,2,-0.1250000000000002,3,3,3,3,2,3,3,3,3,11.634920634920634,Public Day_Rural
3.4285714285714284,4,5.0,4.0,5.0,5.0,5.0,4.0,1.0000000000000002,0.0,0.2499999999999999,0.0,4,1,3,0.37499999999999994,4,2,3,3,3,2,3,3,4,14.095238095238095,Public Day_Rural
